"Disaster Number","State","County","Program Area","Project Identifier","Application ID","Primary Hazard","Type","Project Title","Project Counties","Status","Subgrantee","Cost Share Percentage","Federal Share Proposed","Project Amount","Federal Share Obligated","Non Federal Share","Date Initially Approved","Date Awarded","Date Approved","Date Closed","Subgrantee Tribal Indicator","Phased Project","Date Received","Date Submitted","Environmental Document Type"
"1153","Nevada","Lyon","HMGP","DR-1153-0009-R","","","202.1: Elevation of Private Structures - Riverine","Relocation of 4-plex at Campbell Ranch Colony of Yerington Paiute Tribal Lands","LYON","Closed","Yerington Paiute Indian Reservation","0.75","48750","65000","48750","16250","","","1998/04/15 00:00:00","2000/02/24 00:00:00","","","1997/09/17 00:00:00","","CATEX"
"1153","Nevada","Storey","HMGP","DR-1153-0008-R","","","202.1: Elevation of Private Structures - Riverine","Elevation of 2 residential properties on the Pyramid Lake Paiute Reservation","STOREY","Withdrawn","Pyramid Lake Paiute Indian Reservation","0","0","0","0","0","","","1998/04/30 00:00:00","2000/03/21 00:00:00","","","1997/09/19 00:00:00","","CATEX"
"1153","Nevada","Storey","HMGP","DR-1153-0010-R","","","200.1: Acquisition of Private Real Property (Structures and Land) - Riverine","ACQUISITION/RELOCATION OF RESIDENTIAL HOMES ON PYRAMID LAKE PAIUTE TRIBAL LANDS","STOREY","Closed","Pyramid Lake Paiute Indian Reservation","0.75","207720","276960","207720","69240","","","1998/04/29 00:00:00","2000/04/06 00:00:00","","","1997/11/17 00:00:00","","CATEX"
"1153","Nevada","Washoe","HMGP","DR-1153-0002-R","","","401.1: Water and Sanitary Sewer System Protective Measures","Installation of Backwater valve for fire station","WASHOE","Closed","City of Sparks","0.74998198","10406","13875","10406","3469","","","1997/04/14 00:00:00","2002/01/03 00:00:00","","","1997/03/05 00:00:00","","CATEX"
"1153","Nevada","Washoe","HMGP","DR-1153-0012-R","","","500.2: Flood Control - Berm, Levee, or Dike","Earthen Berm For Fire Station # 3","WASHOE","Closed","City of Sparks","0.75000194","96751","129001","96751","32250","","","1998/08/25 00:00:00","2000/05/12 00:00:00","","","1998/03/02 00:00:00","","CATEX"
"1153","Nevada","Washoe","HMGP","DR-1153-0011-R","","","500.1: Flood Control - Floodwall","Floodwall construction at the City of Reno Police Station","WASHOE","Closed","City of Reno","0.75","288975","385300","288975","96325","","","1998/05/20 00:00:00","2000/04/17 00:00:00","","","1997/11/19 00:00:00","","CATEX"
"947","California","Statewide","HMGP","DR-0947-0005-R","","","205.4: Non Structural Retrofitting/Rehabilitating Public Structures - Seismic","NON-STRUCTURAL, FALLING HAZARD REDUCTION MAINTENANCE","STATEWIDE","Closed","University of California","0.5","100000","200000","100000","100000","","","1994/02/14 00:00:00","1995/03/17 00:00:00","","","1993/11/23 00:00:00","","CATEX"
"947","California","Riverside","HMGP","DR-0947-0007-R","","","205.4: Non Structural Retrofitting/Rehabilitating Public Structures - Seismic","NON-STRUCTURAL SEISMIC HAZARDS MITIGATION PLAN","RIVERSIDE","Closed","Riverside County","0.5","226305","452610","226305","226305","","","1997/12/30 00:00:00","2003/04/01 00:00:00","","","1997/06/11 00:00:00","","CATEX"
"947","California","San Bernardino","HMGP","DR-0947-0002-R","","","205.4: Non Structural Retrofitting/Rehabilitating Public Structures - Seismic","SYCAMORE NO. 1 RESERVOIR - SEISMIC RETROFIT","SAN BERNARDINO","Closed","SAN BERNARDINO, CITY","0.33333333","30000","90000","30000","60000","","","1994/12/22 00:00:00","1995/05/31 00:00:00","","","1994/12/19 00:00:00","","CATEX"
"5293","California","Shasta","HMGP","DR-5293-0005","349","Fire","300.2: Vegetation Management - Wildfire","Wildfire Mitigation/Hazardous Fuels Reduction","SHASTA","Pending","Shasta (County)","0.74999998","11642357","15523143","","3880786","","","","","No","","","2021/06/24 00:00:00",""
"4569","California","Santa Clara","HMGP","DR-4569-0031","636","","601.2: Generators - Regular","Cupertino Civic Center Plaza Microgrid","SANTA CLARA","Pending","Cupertino","0.75","681000","908000","","227000","","","","","No","","","2021/11/17 00:00:00",""
"4353","California","San Bernardino","HMGP","DR-4353-0057","28","Flood","403.1: Stormwater Management - Culverts","DO NOT SUBMIT San Bern Co Flood Protection Dist., Hawker Crawford Storm Drain","SAN BERNARDINO","Pending","SAN BERNARDINO COUNTY FLOOD CONTROL DISTRICT","0.72865054","5000000","6862000","","1862000","","","","","No","","","2019/04/12 00:00:00",""
"4395","Hawaii","Honolulu","HMGP","DR-4395-0002-R","5","","904.1: Advanced Assistance","HI-Energy Office, Adv. Asst., Energy and Critical Infrastructure","HONOLULU","Approved","DPT OF BUS. ECON & TOURSM-STRAT IND DIVISION","0.75","600000","800000","600000","200000","2020/12/18 00:00:00","","2020/12/18 00:00:00","","No","No","2020/11/18 00:00:00","2020/11/06 00:00:00","CATEX"
"4569","California","Sonoma","HMGP","DR-4569-0005","7","Fire","600.1: Warning Systems (as a Component of a Planned, Adopted, and Exercised Risk Reduction Plan)"," + 5% City of Rohnert Park Autonomous Fire Watch System","SONOMA","Pending","Rohnert Park","0.74999779","170008","226678","","56670","","","","","No","","","2021/11/16 00:00:00",""
"1664","Hawaii","Statewide","HMGP","DR-1664-0002-P","2","","92.1: State Multihazard Mitigation Plan","7% - Hawaii State Disaster Gap Analysis for 2007 Plan Update and Mitigation Plan","STATEWIDE","Closed","STATE OF HAWAII - DEPARTMENT OF DEFENSE","0.75","385978.5","514638","385979","128659","2007/04/12 00:00:00","","2015/02/12 00:00:00","2015/07/23 19:00:26","No","","2015/02/12 00:00:00","2015/02/12 00:00:00","CATEX"
"4569","California","Statewide","HMGP","DR-4569-0042","523","Earthquake","205.5: Structural Retrofitting/Rehabilitating Private Structures - Seismic"," +Earthquake Brace+Bolt Multi-County SFR Soft-Story Seismic retrofit program","STATEWIDE","Pending","CALIFORNIA EARTHQUAKE AUTHORITY","0.66666667","49994000","74991000","","24997000","","","","","No","","","2021/11/17 00:00:00",""
"1267","California","Statewide","HMGP","DR-1267-0010-M","481","Other (Specify in Comments)","700.1: Management Costs - Salaries","State Management Costs","STATEWIDE","Closed","Statewide","0.75","45305.25","60407","45305","15102","2001/03/21 00:00:00","","2011/03/04 00:00:00","2011/03/04 00:00:00","No","","2011/02/23 00:00:00","2011/02/23 00:00:00","CATEX"
"5293","California","San Mateo","HMGP","DR-5293-0012","425","Fire","300.2: Vegetation Management - Wildfire"," +Wildfire Hazard Risk Reduction at Edgewood County Park and Natural Preserve","SAN MATEO","Pending","San Mateo (County)","0.74999847","369885","493181","","123296","","","","","No","","","2021/06/24 00:00:00",""
"4569","California","San Bernardino","HMGP","DR-4569-0018","498","Flood","904.1: Advanced Assistance","San Bernardino County Flood Mitigation - Advance Assistance","SAN BERNARDINO","Pending","SAN BERNARDINO COUNTY FLOOD CONTROL DISTRICT","0.75","1125000","1500000","","375000","","","","","No","","","2021/11/17 00:00:00",""
"4569","California","San Bernardino","HMGP","DR-4569-0044","724","Flood","403.2: Stormwater Management - Diversions"," + Grove Basin Outlet","SAN BERNARDINO","Pending","SAN BERNARDINO COUNTY FLOOD CONTROL DISTRICT","0.7311828","6800000","9300000","","2500000","","","","","No","","","2021/11/17 00:00:00",""
"4569","California","Shasta","HMGP","DR-4569-0002","974","Fire","205.1: Retrofitting Private Structures - Wildfire; 
300.2: Vegetation Management - Wildfire","California Wildfire Mitigation Program - Shasta County","SHASTA","Pending","SHASTA COUNTY FIRE SAFE COUNCIL, INC","0.75","17656601.24","23542134.99","","5885533.75","","","","","No","","","2021/11/10 00:00:00",""
"1540","Nevada","Statewide","HMGP","DR-1540-0002-F","5","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","Statewide Public Education and Outreach Initiative","STATEWIDE","Closed","Statewide","0.75","36309.75","48413","36310","12103","2005/12/12 00:00:00","","2008/01/09 00:00:00","2008/01/09 00:00:00","No","","2008/01/09 00:00:00","2008/01/09 00:00:00","CATEX"
"1427","Federated States of Micronesia","Yap","HMGP","DR-1427-0004-R","4","","401.1: Water and Sanitary Sewer System Protective Measures","Yap: Outer Island Water Storage Tanks","YAP","Closed","YAP STATE OFFICE OF PLANNING AND BUDGET","0.75","36210.75","48281","36211","12070","2004/06/09 00:00:00","","2013/11/08 00:00:00","2013/11/08 00:00:00","No","","2013/11/08 00:00:00","2013/11/08 00:00:00","CATEX"
"4305","California","Humboldt","HMGP","DR-4305-0007-R","101","Tsunami","502.1: Tsunami Vertical Evacuation Shelter","Fairhaven Tsunami Vertical Evacuation Structure Project","HUMBOLDT","Closed","SAMOA PENINSULA FIRE DISTRICT","0.75","593250","791000","0","197750","","","2019/08/05 00:00:00","2020/08/20 00:00:00","No","Yes","2018/05/15 00:00:00","2018/03/14 00:00:00","CATEX"
"1532","Northern Mariana Islands","Statewide","HMGP","DR-1532-0001-M","2","Typhoon","700.1: Management Costs - Salaries; 
700.2: Management Costs - Equipment; 
700.4: Management Costs - Supplies","State Management Cost","STATEWIDE","Closed","OFFICE OF THE GOV. - EMERGENCY MGMT OFFICE","1","25746","25746","25746","0","2006/01/11 00:00:00","","2014/12/05 00:00:00","2014/12/05 00:00:00","No","","2014/12/05 00:00:00","2014/12/05 00:00:00","CATEX"
"4353","California","Sonoma","HMGP","DR-4353-0011-F","116","Fire","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","5% Santa Rosa, Vegetation Management Education and Inspection Program","SONOMA","Closed","Santa Rosa","0.75","495450","660600","","165150","","","","2020/07/14 19:09:39","No","","2019/04/02 00:00:00","2019/03/29 00:00:00",""
"4395","Hawaii","Honolulu","HMGP","DR-4395-0004-R","1","","601.2: Generators - Regular","CoHI-BWS, Mililani Well, Generator
","HONOLULU","Approved","HONOLULU BOARD OF WATER SUPPLY","0.75","787500","1050000","787500","262500","2021/07/28 00:00:00","","2021/07/28 00:00:00","","No","No","2021/03/02 00:00:00","2021/03/02 00:00:00","CATEX"
"5293","California","Sonoma","HMGP","DR-5293-0002-R","57","Fire","300.2: Vegetation Management - Wildfire","Wildfire Adapted Sonoma County - Part 2","SONOMA","Approved","Sonoma (County)","0.75","276817.35","369089.8","276817.35","92272.45","2021/09/28 00:00:00","","2021/12/17 00:00:00","","No","Yes","2021/12/13 00:00:00","2021/12/13 00:00:00","CATEX"
"4569","California","Humboldt","HMGP","DR-4569-0010","122","","800.1: Miscellaneous","Wastewater Treatment Facility Levee Expansion Project","HUMBOLDT","Pending","Arcata","0.75","4142344.5","5523126","","1380781.5","","","","","No","","","2021/11/16 00:00:00",""
"4395","Hawaii","Honolulu","HMGP","DR-4395-0005-R","2","","205.8: Retrofitting Public Structures - Wind","Lanakila Pacific, Bachelot, Roof & Exerior Hardening","HONOLULU","Approved","Statewide","0.75","202500","270000","202500","67500","2021/11/16 00:00:00","","2021/11/19 00:00:00","","No","Yes","2021/11/19 00:00:00","2021/11/18 00:00:00","CATEX"
"4353","California","Statewide","HMGP","DR-4353-0006-M","9999","Other (Specify in Comments)","700.1: Management Costs - Salaries; 
700.4: Management Costs - Supplies","State Management Costs","STATEWIDE","Approved","Statewide","1","709255.59","709255.59","709255.59","0","2018/11/05 00:00:00","","2022/01/28 00:00:00","","No","","2021/12/15 00:00:00","2021/12/15 00:00:00","CATEX"
"1427","Federated States of Micronesia","Yap","HMGP","DR-1427-0006-R","6","Typhoon","205.8: Retrofitting Public Structures - Wind","Yap-OPB Typhoon Shutters for Shelters","YAP","Closed","YAP STATE OFFICE OF PLANNING AND BUDGET","0.75","356990.25","475987","356990","118997","2004/07/10 00:00:00","","2013/03/05 00:00:00","2013/11/08 00:00:00","No","","2013/03/05 00:00:00","2013/03/05 00:00:00","CATEX"
"4353","California","Los Angeles","HMGP","DR-4353-0021-F","184","","601.1: Generators","5 % Hermosa Beach, City of, Generators","LOS ANGELES","Approved","Hermosa Beach","0.75","87337.5","116450","87337.5","29112","2020/01/02 00:00:00","","2020/01/02 00:00:00","","No","Yes","2019/04/02 00:00:00","2019/03/29 00:00:00","CATEX"
"4353","California","Mendocino","HMGP","DR-4353-0018-P","278","","91.5: Local Multijurisdictional Multihazard Mitigation Plan - UPDATE","7% Mendocino County Multi-Jurisdictional Hazard Mitigation Plan Update","MENDOCINO","Closed","Mendocino (County)","0.75","150058.5","200078","150058.5","50019.5","2019/10/08 00:00:00","","2021/10/01 00:00:00","2021/10/01 01:19:33","No","No","2021/09/30 00:00:00","2021/09/30 00:00:00","CATEX"
"1427","Federated States of Micronesia","Yap","HMGP","DR-1427-0010-R","11","Typhoon","205.8: Retrofitting Public Structures - Wind","Yap - Hardening of Kanifay & Tomil Community Typhoon Shelters","YAP","Closed","YAP STATE OFFICE OF PLANNING AND BUDGET","0.75","0","0","0","0","","","2013/11/20 00:00:00","2014/01/29 21:04:41","No","","2013/11/20 00:00:00","2013/11/20 00:00:00","CATEX"
"1940","Arizona","Coconino","HMGP","DR-1940-0006-F","6","Flood","800.1: Miscellaneous","Topographic Risk Assessment Project","COCONINO","Closed","Coconino (County)","0.6143187","53200","86600","53200","33400","2012/02/24 00:00:00","","2012/02/24 00:00:00","2014/02/20 00:00:00","No","","2011/12/08 00:00:00","2012/01/26 00:00:00","CATEX"
"1427","Federated States of Micronesia","Chuuk","HMGP","DR-1427-0008-R","8","Typhoon","800.1: Miscellaneous","Chuuk - Agriculture Mitigation Project","CHUUK","Closed","CHUUK STATE DEPARTMENT OF AGRICULTURE","0.75","96094.5","128126","96094","32031","2004/07/10 00:00:00","","2013/03/05 00:00:00","2014/01/31 23:37:52","No","","2013/03/05 00:00:00","2013/03/05 00:00:00","CATEX"
"4353","California","Los Angeles","HMGP","DR-4353-0022-F","283","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","5 %  Hermosa Beach, City of, Resident and Business Mitigation Education Program","LOS ANGELES","Approved","Hermosa Beach","0.75","187500","250000","187500","62500","2020/01/27 00:00:00","","2020/01/27 00:00:00","","No","No","2019/04/02 00:00:00","2019/03/29 00:00:00","CATEX"
"4395","Hawaii","Statewide","HMGP","DR-4395-0001-M","4","Hurricane","700.1: Management Costs - Salaries; 700.2: Management Costs - Equipment; 700.3: Management Costs - Office Space Rental; 700.4: Management Costs - Supplies","State Management Costs","STATEWIDE","Approved","STATE OF HAWAII - DEPARTMENT OF DEFENSE","1","416778","416778","416778","0","2020/09/11 00:00:00","","2020/09/11 00:00:00","","No","","2020/09/10 00:00:00","2020/09/10 00:00:00","CATEX"
"1731","California","Sonoma","HMGP","DR-1731-0058-R","82","Earthquake","205.4: Non Structural Retrofitting/Rehabilitating Public Structures - Seismic","Sonoma County Water Agency, Santa Rosa Aqueduct Seismic HM Project (097-91022)","SONOMA","Closed","SONOMA COUNTY WATER AGENCY","0.6684773","2370359.67","3545909","2370360","1175549","2011/01/19 00:00:00","","2014/03/14 00:00:00","2015/01/12 00:00:00","No","","2014/03/14 00:00:00","2014/03/14 00:00:00","CATEX"
"1911","California","Imperial","HMGP","DR-1911-0008","14","Flood","402.1: Infrastructure Protective Measures (Roads and Bridges)","Noffsinger Road, County Project# 5241.1","IMPERIAL","Closed","Imperial (County)","0.75","362850","483800","","120950","","","","2017/05/25 00:00:00","No","","","2012/04/13 00:00:00",""
"961","Hawaii","Statewide","HMGP","DR-0961-0001-R","","","103.1: Feasibility, Engineering and Design Studies","ENERGY VULNERABILITY ASSESSMENT","STATEWIDE","Closed","DEPT. OF BUSINESS, E","0.5","197480","394960","197480","197480","","","1995/01/08 00:00:00","2003/02/14 00:00:00","","","1993/12/03 00:00:00","","CATEX"
"961","Hawaii","Statewide","HMGP","DR-0961-0008-F","","","90.6: Mitigation Plan - State Multihazard Mitigation Plan","DISASTER DEBRIS MANAGEMENT PLAN","STATEWIDE","Closed","DEPARTMENT OF HEALTH","0.5","203733","407466","203733","203733","","","1997/06/10 00:00:00","2003/02/14 00:00:00","","","1996/03/08 00:00:00","","CATEX"
"961","Hawaii","Statewide","HMGP","DR-0961-0003-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","FIRE PRESUPPRESSION FOR WILDLAND MITIGATION","STATEWIDE","Void","DEPARTMENT OF LAND A","","","500000","0","500000","","","","1997/12/01 00:00:00","","","1994/01/26 00:00:00","","N/A"
"961","Hawaii","Statewide","HMGP","DR-0961-0004-R","","","205.8: Retrofitting Public Structures - Wind","HARDENING OF THE HAWAII CONVENTION CENTER EXHIBITION HALL","STATEWIDE","Closed","STATE OF HAWAII, CON","0.5","63830","127660","63830","63830","","","1996/06/07 00:00:00","2003/02/14 00:00:00","","","1996/03/15 00:00:00","","CATEX"
"961","Hawaii","Hawaii","HMGP","DR-0961-0019-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","NATURAL HAZARDS PUBLIC SEMINAR","HAWAII","Closed","University of Hawaii","0.5","65156","130312","65156","65156","","","1997/06/26 00:00:00","2002/05/15 00:00:00","","","1996/09/30 00:00:00","","N/A"
"961","Hawaii","Honolulu","HMGP","DR-0961-0009-R","","","205.8: Retrofitting Public Structures - Wind","HARDENING NANAKULI & PALOLO FIRE STATION VEHICULAR DOORS","HONOLULU","Closed","HONOLULU BUILDING DE","0.5","43446","86892","43446","43446","","","1996/09/24 00:00:00","2003/02/14 00:00:00","","","1996/03/29 00:00:00","","CATEX"
"961","Hawaii","Honolulu","HMGP","DR-0961-0018-R","","","401.1: Water and Sanitary Sewer System Protective Measures","Sunset Terrace Wastewater Plant Hardening","HONOLULU","Closed","HONOLULU BUILDING DE","0.5","179384","358768","179384","179384","","","1998/03/26 00:00:00","2003/02/14 00:00:00","","","1997/03/14 00:00:00","","CATEX"
"961","Hawaii","Kauai","HMGP","DR-0961-0011-R","","","205.8: Retrofitting Public Structures - Wind","HARDENING OF THE ANAHOLA NEIGHBORHOOD CENTER","KAUAI","Closed","KAUAI DEPARTMENT OF ","0.5","18339","36678","18339","18339","","","1997/08/26 00:00:00","2003/02/14 00:00:00","","","1996/12/17 00:00:00","","CATEX"
"961","Hawaii","Kauai","HMGP","DR-0961-0007-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","BLUE SKY HAWAII (PROJECT HO'OMALU)","KAUAI","Withdrawn","KAUAI COUNTY","0","0","0","0","0","","","1997/11/18 00:00:00","2001/06/14 00:00:00","","","1996/10/29 00:00:00","","EA"
"961","Hawaii","Kauai","HMGP","DR-0961-0010-R","","","204.3: Dry Floodproofing Public Structures - Riverine","FLOOD & WATER-PROOFING OF THE KAUAI EOC","KAUAI","Closed","KAUAI DEPARTMENT OF ","0.5","15229","30458","15229","15229","","","1997/11/12 00:00:00","2001/08/06 00:00:00","","","1996/07/08 00:00:00","","CATEX"
"961","Hawaii","Kauai","HMGP","DR-0961-0002-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","FIRE PREVENTION CAMPAIGN FOR WILDLAND MITIGATION","KAUAI","Void","KAUAI COUNTY","","","1484000","0","1484000","","","","1997/12/01 00:00:00","","","1993/08/19 00:00:00","","N/A"
"961","Hawaii","Maui","HMGP","DR-0961-0016-R","","","205.8: Retrofitting Public Structures - Wind","Maui Memorial Hospital Retrofit","MAUI","Closed","DEPARTMENT OF HEALTH","0.5","50000","100000","50000","50000","","","1997/09/02 00:00:00","2002/11/29 00:00:00","","","1997/03/13 00:00:00","","CATEX"
"961","Hawaii","","HMGP","DR-0961-0013-R","","","205.8: Retrofitting Public Structures - Wind","Hardening of Neal S. Blaisdell Center Complex","CITY AND OF HONOLULU","Closed","HONOLULU BUILDING DE","0.5","523969","1047938","523969","523969","","","1997/11/12 00:00:00","2003/02/14 00:00:00","","","1997/03/17 00:00:00","","CATEX"
"961","Hawaii","Statewide","HMGP","DR-0961-0006-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","HURRICANES IN HAWAII BROCHURE - A PUBLIC AWARENESS PROGRAM","STATEWIDE","Closed","DEPARTMENT OF COMMER","0.5","35648","71296","35648","35648","","","1996/07/29 00:00:00","2003/02/14 00:00:00","","","1996/01/15 00:00:00","","CATEX"
"961","Hawaii","Hawaii","HMGP","DR-0961-0012-R","","","601.1: Generators","Purchase and installation of two emergency generators for sewage facilities","HAWAII","Closed","HAWAII COUNTY","0.5","293785","587570","293785","293785","","","1997/12/15 00:00:00","1997/12/15 00:00:00","","","1997/01/13 00:00:00","","CATEX"
"961","Hawaii","Hawaii","HMGP","DR-0961-0017-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","Pacific Tsunami Museum Public Awareness Program","HAWAII","Closed","HAWAII COUNTY","0.33695475","412500","1224200","408148","816052","","","1998/03/26 00:00:00","2003/02/14 00:00:00","","","1997/03/14 00:00:00","","CATEX"
"961","Hawaii","Hawaii","HMGP","DR-0961-0020-R","","","100.1: Public Awareness and Education (Brochures, Workshops, Videos, etc.)","NATURAL HAZARDS WORKSHOP & TEACHER TRAINING SERIES","HAWAII","Closed","University of Hawaii","0.5","154460","308920","154460","154460","","","1997/06/26 00:00:00","2003/02/14 00:00:00","","","1996/09/03 00:00:00","","N/A"
"961","Hawaii","Kauai","HMGP","DR-0961-0014-R","","","205.8: Retrofitting Public Structures - Wind","Hardening of essential facilities in Kauai County","KAUAI","Closed","KAUAI DEPARTMENT OF ","0.5","1410449","2820898","1410449","1410449","","","1997/09/02 00:00:00","2002/12/13 00:00:00","","","1997/02/28 00:00:00","","CATEX"
"961","Hawaii","Kauai","HMGP","DR-0961-0015-R","","","205.8: Retrofitting Public Structures - Wind","Hanalei and Kapa/a school high-wind retrofit in Kauai county.","KAUAI","Closed","KAUAI DEPARTMENT OF ","0","0","0","0","0","","","1997/09/02 00:00:00","2002/11/29 00:00:00","","","1997/03/13 00:00:00","","CATEX"
"961","Hawaii","Kauai","HMGP","DR-0961-0005-R","","","205.8: Retrofitting Public Structures - Wind","HARDENING OF KOLOA FIRE STATION DOORS","KAUAI","Closed","KAUAI DEPARTMENT OF ","0.49943562","13274","26548","13274","13304","","","1996/04/07 00:00:00","1996/05/01 00:00:00","","","1996/02/07 00:00:00","","CATEX"
"977","Arizona","","HMGP","DR-0977-0030-R","","","404.1: Localized Flood Control System to Protect Critical Facility","NOGALES WASH BRIDGE & CHULA VISTA FIRE STATION (SITE 1)","SANTA CRUZ ","Withdrawn","SANTA CRUZ COUNTY","","","","","","","","","2001/07/20 00:00:00","","","2000/06/07 00:00:00","","CATEX"
"977","Arizona","Statewide","HMGP","DR-0977-M003-M","","","700.1: Management Costs - Salaries","STATE MANAGEMENT COST","STATEWIDE","Closed","DIVISION OF EMERGENC","0.5","45861","91722","45861","45861","","","1996/08/21 00:00:00","1996/08/21 00:00:00","","","1996/08/07 00:00:00","","N/A"
"977","Arizona","Statewide","HMGP","DR-0977-M002-M","","","700.1: Management Costs - Salaries","STATE MANAGEMENT COST","STATEWIDE","Closed","DIVISION OF EMERGENC","0.36541124","21112","57776","21112","36664","","","1996/02/01 00:00:00","1996/02/01 00:00:00","","","1996/02/01 00:00:00","","N/A"
"977","Arizona","Cochise","HMGP","DR-0977-0035-R","","","405.1: Other Minor Flood Control","BREWERY GULCH ROAD SITE","COCHISE","Closed","BISBEE, CITY OF","0.5","142915","285830","142915","142915","","","2002/02/21 00:00:00","2003/04/11 00:00:00","","","2000/06/07 00:00:00","","CATEX"
"977","Arizona","Cochise","HMGP","DR-0977-0037-R","","","402.1: Infrastructure Protective Measures (Roads and Bridges)","HIGH ROAD RETAINING WALL","COCHISE","Closed","BISBEE, CITY OF","0.50000103","242478","484955","242478","242477","","","2002/02/21 00:00:00","2006/05/08 00:00:00","","","2000/06/07 00:00:00","","CATEX"
"977","Arizona","Gila","HMGP","DR-0977-0001-R","","","200.1: Acquisition of Private Real Property (Structures and Land) - Riverine","ACQUISITION PROJECT","GILA","Closed","GILA COUNTY","0.4274253","769887","1801220","769887","1031333","","","1993/09/30 00:00:00","1996/05/07 00:00:00","","","1993/05/01 00:00:00","","FONSI"
"977","Arizona","Maricopa","HMGP","DR-0977-0008-R","","","401.1: Water and Sanitary Sewer System Protective Measures","91ST AVE WASTEWATER TREATMENT PLANT, EROSION CONTROL","MARICOPA","Closed","PHOENIX","0.5","1275231","2550462","1275231","1275231","","","1997/09/30 00:00:00","2000/11/02 00:00:00","","","1996/02/15 00:00:00","","CATEX"
"977","Arizona","Maricopa","HMGP","DR-0977-0003-R","","","500.3: Flood Control - Dam","DAM #4, HAZARD ELIMINATION","MARICOPA","Withdrawn","FOUNTAIN HILLS","0","0","0","0","0","","","1995/07/07 00:00:00","2001/07/19 00:00:00","","","1993/09/01 00:00:00","","CATEX"
"977","Arizona","Maricopa","HMGP","DR-0977-0005-R","","","403.3: Stormwater Management - Flapgates/Floodgates","DRAINAGE CHANNEL, GRANDE BLVD TO ROSITA DRIVE","MARICOPA","Withdrawn","FOUNTAIN HILLS","0","0","0","0","0","","","1995/07/07 00:00:00","2001/07/19 00:00:00","","","1993/09/01 00:00:00","","CATEX"
"977","Arizona","Maricopa","HMGP","DR-0977-0027-F","","","200.1: Acquisition of Private Real Property (Structures and Land) - Riverine","43rd Avenue & Baseline Road Basin Property Acquisition","MARICOPA","Not Approved / Denied","PHOENIX","","","","","","","","","1998/09/19 00:00:00","","","1998/09/03 00:00:00","","N/A"
"977","Arizona","Pima","HMGP","DR-0977-0011-F","","","602.1: Other Equipment Purchase and Installation","EMERGENCY RAPID ASSESSMENT EQUIPMENT","PIMA","Closed","PIMA COUNTY","0.5","23288","46576","23288","23288","","","1998/02/16 00:00:00","2000/11/06 00:00:00","","","1997/08/18 00:00:00","","CATEX"
"977","Arizona","Pima","HMGP","DR-0977-0010-R","","","401.1: Water and Sanitary Sewer System Protective Measures","WASTE FACILITY BANK PROTECTION","PIMA","Not Approved / Denied","PIMA COUNTY","0","0","0","0","0","","","","2001/07/20 00:00:00","","","1996/05/28 00:00:00","",""
"977","Arizona","Pima","HMGP","DR-0977-0015-F","","","602.1: Other Equipment Purchase and Installation","DOWN LINK LIVE VIDEO FROM AIRBORNE SOURCE TO EOC","PIMA","Closed","PIMA COUNTY","0.5","65000","130000","65000","65000","","","1998/02/24 00:00:00","2003/05/16 00:00:00","","","1997/08/18 00:00:00","","CATEX"
"977","Arizona","Pima","HMGP","DR-0977-0024-F","","","90.4: Mitigation Plan - Local Multihazard Mitigation Plan","Development of Hazard Mitigation Plan","PIMA","Closed","Pima County","0.5","45069","90138","45069","45069","","","1998/09/15 00:00:00","2003/03/11 00:00:00","","","1998/09/03 00:00:00","","CATEX"
"977","Arizona","Pinal","HMGP","DR-0977-0014-R","","","201.3: Relocation of Public Structures - Riverine","KEARNY WASTEWATER TREATMENT PLANT RELOCATION","PINAL","Closed","KEARNY","0.49999984","1570060","3140121","1570060","1570061","","","1998/09/12 00:00:00","2002/05/30 00:00:00","","","1997/06/19 00:00:00","","FONSI"
"977","Arizona","Pinal","HMGP","DR-0977-0009-R","","","403.2: Stormwater Management - Diversions","MODIFICATION OF PROTECTIVE EMBANKMENT","PINAL","Not Approved / Denied","MARICOPA-STANFIELD I","0","0","0","0","0","","","","2001/07/20 00:00:00","","","1996/02/20 00:00:00","","N/A"
"977","Arizona","Yavapai","HMGP","DR-0977-0006-R","","","403.2: Stormwater Management - Diversions","DRAINAGE CHANNEL, RIMROCK DR. TO MONTEZUMA AVE","YAVAPAI","Not Approved / Denied","YAVAPAI COUNTY FLOOD","","","","","","","","","2001/06/20 00:00:00","","","1993/09/01 00:00:00","","N/A"
"977","Arizona","Yavapai","HMGP","DR-0977-0020-F","","","90.4: Mitigation Plan - Local Multihazard Mitigation Plan","Development of Hazard Mitigation Plan","YAVAPAI","Closed","Town of Jerome","0.5","6000","12000","6000","6000","","","1998/09/15 00:00:00","2002/05/29 00:00:00","","","1998/09/03 00:00:00","","CATEX"
